song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Seen It All,Future & Metro Boomin,Seen It All_Future & Metro Boomin,0.72,0.537,4.0,-5.768,1.0,0.388,0.0924,0.000113,0.125,0.198,88.002,audio_features,5imsnhkfPCm3wajS9ksb21,spotify:track:5imsnhkfPCm3wajS9ksb21,https://api.spotify.com/v1/tracks/5imsnhkfPCm3wajS9ksb21,https://api.spotify.com/v1/audio-analysis/5imsnhkfPCm3wajS9ksb21,179440.0,4.0
So American,Olivia Rodrigo,So American_Olivia Rodrigo,0.447,0.945,8.0,-1.883,1.0,0.109,0.0266,0.0,0.697,0.573,93.199,audio_features,5Jh1i0no3vJ9u4deXkb4aV,spotify:track:5Jh1i0no3vJ9u4deXkb4aV,https://api.spotify.com/v1/tracks/5Jh1i0no3vJ9u4deXkb4aV,https://api.spotify.com/v1/audio-analysis/5Jh1i0no3vJ9u4deXkb4aV,169717.0,4.0
Where My Twin @,Future & Metro Boomin,Where My Twin @_Future & Metro Boomin,0.742,0.573,0.0,-5.447,1.0,0.246,0.0371,0.0,0.0511,0.13,178.088,audio_features,30TcFxtFyju8isK6Hjo9KY,spotify:track:30TcFxtFyju8isK6Hjo9KY,https://api.spotify.com/v1/tracks/30TcFxtFyju8isK6Hjo9KY,https://api.spotify.com/v1/audio-analysis/30TcFxtFyju8isK6Hjo9KY,122787.0,4.0
La People II,"Peso Pluma, Tito Double P & Joel de La P","La People II_Peso Pluma, Tito Double P & Joel de La P",0.717,0.674,1.0,-5.269,1.0,0.0722,0.523,5.43e-06,0.0978,0.705,132.037,audio_features,7EWtB4NKYY3NqBl31PVip9,spotify:track:7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/tracks/7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/audio-analysis/7EWtB4NKYY3NqBl31PVip9,141064.0,3.0
I Like The Way You Kiss Me,Artemas,I Like The Way You Kiss Me_Artemas,0.528,0.43,1.0,-11.783,0.0,0.0368,0.341,0.00147,0.153,0.124,142.525,audio_features,5rFtmW5WSoT9uNYW1eYqq4,spotify:track:5rFtmW5WSoT9uNYW1eYqq4,https://api.spotify.com/v1/tracks/5rFtmW5WSoT9uNYW1eYqq4,https://api.spotify.com/v1/audio-analysis/5rFtmW5WSoT9uNYW1eYqq4,180925.0,4.0
Punteria,Shakira & Cardi B,Punteria_Shakira & Cardi B,0.858,0.725,5.0,-3.828,0.0,0.0383,0.0222,3.07e-05,0.138,0.805,120.087,audio_features,2dYXrWkNO40NXy2Q3IYLRc,spotify:track:2dYXrWkNO40NXy2Q3IYLRc,https://api.spotify.com/v1/tracks/2dYXrWkNO40NXy2Q3IYLRc,https://api.spotify.com/v1/audio-analysis/2dYXrWkNO40NXy2Q3IYLRc,181667.0,4.0
Corazon de Piedra,Xavi,Corazon de Piedra_Xavi,0.834,0.763,2.0,-5.475,1.0,0.0835,0.0354,2.33e-06,0.273,0.633,134.844,audio_features,0dEAiKNbHt4mrjjoiL0loc,spotify:track:0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc,193568.0,3.0
Stranger,Olivia Rodrigo,Stranger_Olivia Rodrigo,0.448,0.61,0.0,-4.903,1.0,0.118,0.814,0.0,0.0965,0.595,186.015,audio_features,2U3jOPfO4wZZFaaWS4Dcj6,spotify:track:2U3jOPfO4wZZFaaWS4Dcj6,https://api.spotify.com/v1/tracks/2U3jOPfO4wZZFaaWS4Dcj6,https://api.spotify.com/v1/audio-analysis/2U3jOPfO4wZZFaaWS4Dcj6,192772.0,4.0
Wildflower And Barley,Hozier & Allison Russell,Wildflower And Barley_Hozier & Allison Russell,0.445,0.429,7.0,-10.029,1.0,0.0477,0.33,0.000386,0.178,0.388,168.104,audio_features,1q1WpDkeFN3y9FlwZ1f440,spotify:track:1q1WpDkeFN3y9FlwZ1f440,https://api.spotify.com/v1/tracks/1q1WpDkeFN3y9FlwZ1f440,https://api.spotify.com/v1/audio-analysis/1q1WpDkeFN3y9FlwZ1f440,222177.0,4.0
Scared Of My Guitar,Olivia Rodrigo,Scared Of My Guitar_Olivia Rodrigo,0.475,0.266,2.0,-9.957,1.0,0.0518,0.521,0.0,0.115,0.343,107.644,audio_features,7JqH46zlr7XV7vMBt4slE6,spotify:track:7JqH46zlr7XV7vMBt4slE6,https://api.spotify.com/v1/tracks/7JqH46zlr7XV7vMBt4slE6,https://api.spotify.com/v1/audio-analysis/7JqH46zlr7XV7vMBt4slE6,263928.0,4.0
Best For Me,Joyner Lucas & Jelly Roll,Best For Me_Joyner Lucas & Jelly Roll,0.644,0.565,10.0,-9.585,0.0,0.328,0.239,0.0,0.151,0.292,147.946,audio_features,3rZgLwQOX9N2up8JQhKi61,spotify:track:3rZgLwQOX9N2up8JQhKi61,https://api.spotify.com/v1/tracks/3rZgLwQOX9N2up8JQhKi61,https://api.spotify.com/v1/audio-analysis/3rZgLwQOX9N2up8JQhKi61,238016.0,4.0
Empire Now,Hozier,Empire Now_Hozier,0.448,0.451,9.0,-6.483,0.0,0.0298,0.685,0.0,0.11,0.368,89.938,audio_features,7bQRGSTZYc8qedKrW9FmYI,spotify:track:7bQRGSTZYc8qedKrW9FmYI,https://api.spotify.com/v1/tracks/7bQRGSTZYc8qedKrW9FmYI,https://api.spotify.com/v1/audio-analysis/7bQRGSTZYc8qedKrW9FmYI,178196.0,4.0
Girl I've Always Been,Olivia Rodrigo,Girl I've Always Been_Olivia Rodrigo,0.507,0.58,7.0,-7.123,1.0,0.309,0.386,0.0,0.39,0.829,93.704,audio_features,0bJAmhSAeMSfsyazOEUVFf,spotify:track:0bJAmhSAeMSfsyazOEUVFf,https://api.spotify.com/v1/tracks/0bJAmhSAeMSfsyazOEUVFf,https://api.spotify.com/v1/audio-analysis/0bJAmhSAeMSfsyazOEUVFf,121354.0,4.0
Enough (Miami),Cardi B,Enough (Miami)_Cardi B,0.926,0.791,5.0,-4.553,1.0,0.273,0.00255,0.0,0.0772,0.473,139.166,audio_features,4XqBLxDaEdlqkHlSlb1Rzq,spotify:track:4XqBLxDaEdlqkHlSlb1Rzq,https://api.spotify.com/v1/tracks/4XqBLxDaEdlqkHlSlb1Rzq,https://api.spotify.com/v1/audio-analysis/4XqBLxDaEdlqkHlSlb1Rzq,158727.0,5.0
Get It Sexyy,Sexyy Red,Get It Sexyy_Sexyy Red,0.806,0.737,0.0,-4.709,1.0,0.287,0.0983,0.0,0.051,0.536,145.031,audio_features,2MjXWroB9wlTG2kqv3avfS,spotify:track:2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/tracks/2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/audio-analysis/2MjXWroB9wlTG2kqv3avfS,148552.0,4.0
Prada Dem,Gunna Featuring Offset,Prada Dem_Gunna Featuring Offset,0.915,0.596,1.0,-4.462,0.0,0.0729,0.0445,0.0,0.108,0.64,121.992,audio_features,0ZBg0OsGKgZajDgFtryiz7,spotify:track:0ZBg0OsGKgZajDgFtryiz7,https://api.spotify.com/v1/tracks/0ZBg0OsGKgZajDgFtryiz7,https://api.spotify.com/v1/audio-analysis/0ZBg0OsGKgZajDgFtryiz7,165373.0,4.0
FRI(END)S,V,FRI(END)S_V,0.466,0.601,8.0,-4.468,1.0,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082.0,4.0
Deeper Well,Kacey Musgraves,Deeper Well_Kacey Musgraves,0.587,0.532,0.0,-7.87,1.0,0.0278,0.48,0.0,0.179,0.352,110.902,audio_features,333XFHKsHU0pOocFzBgrJi,spotify:track:333XFHKsHU0pOocFzBgrJi,https://api.spotify.com/v1/tracks/333XFHKsHU0pOocFzBgrJi,https://api.spotify.com/v1/audio-analysis/333XFHKsHU0pOocFzBgrJi,232133.0,4.0
Mr Pot Scraper,BossMan Dlow,Mr Pot Scraper_BossMan Dlow,0.782,0.491,1.0,-7.179,1.0,0.274,0.193,0.0,0.0805,0.304,159.945,audio_features,6PmqCt2fO80OojY5eGS2X3,spotify:track:6PmqCt2fO80OojY5eGS2X3,https://api.spotify.com/v1/tracks/6PmqCt2fO80OojY5eGS2X3,https://api.spotify.com/v1/audio-analysis/6PmqCt2fO80OojY5eGS2X3,145028.0,4.0
Baby Please,Ivan Cornejo,Baby Please_Ivan Cornejo,0.42,0.385,2.0,-9.499,1.0,0.0565,0.629,0.0,0.115,0.245,171.594,audio_features,7aDgRKt0w7iSVc3NIJLybG,spotify:track:7aDgRKt0w7iSVc3NIJLybG,https://api.spotify.com/v1/tracks/7aDgRKt0w7iSVc3NIJLybG,https://api.spotify.com/v1/audio-analysis/7aDgRKt0w7iSVc3NIJLybG,178320.0,4.0
We Ride,Bryan Martin,We Ride_Bryan Martin,0.62,0.706,3.0,-4.176,1.0,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,audio_features,72kGuWpRiuA149Bn5lDkIO,spotify:track:72kGuWpRiuA149Bn5lDkIO,https://api.spotify.com/v1/tracks/72kGuWpRiuA149Bn5lDkIO,https://api.spotify.com/v1/audio-analysis/72kGuWpRiuA149Bn5lDkIO,188483.0,4.0
Gata Only,FloyyMenor X Cris Mj,Gata Only_FloyyMenor X Cris Mj,0.788,0.573,9.0,-6.421,0.0,0.114,0.143,0.0,0.332,0.484,100.017,audio_features,7ps2ubDk6VEytKw5xFSZeE,spotify:track:7ps2ubDk6VEytKw5xFSZeE,https://api.spotify.com/v1/tracks/7ps2ubDk6VEytKw5xFSZeE,https://api.spotify.com/v1/audio-analysis/7ps2ubDk6VEytKw5xFSZeE,144000.0,4.0
We Can't Be Friends (Wait For Your Love),Ariana Grande,We Can't Be Friends (Wait For Your Love)_Ariana Grande,0.645,0.663,5.0,-8.305,1.0,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639.0,4.0
The Boy Is Mine,Ariana Grande,The Boy Is Mine_Ariana Grande,0.796,0.623,7.0,-5.819,0.0,0.0522,0.149,0.0,0.0746,0.443,98.003,audio_features,0Lmbke3KNVFXtoH2mMSHCw,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,https://api.spotify.com/v1/tracks/0Lmbke3KNVFXtoH2mMSHCw,https://api.spotify.com/v1/audio-analysis/0Lmbke3KNVFXtoH2mMSHCw,173640.0,4.0
Supernatural,Ariana Grande,Supernatural_Ariana Grande,0.57,0.729,8.0,-6.839,1.0,0.104,0.0971,0.0,0.128,0.519,76.56,audio_features,142PiXzA84lmEw2RstFHFa,spotify:track:142PiXzA84lmEw2RstFHFa,https://api.spotify.com/v1/tracks/142PiXzA84lmEw2RstFHFa,https://api.spotify.com/v1/audio-analysis/142PiXzA84lmEw2RstFHFa,163382.0,4.0
Eternal Sunshine,Ariana Grande,Eternal Sunshine_Ariana Grande,0.658,0.505,9.0,-6.947,1.0,0.105,0.537,0.0,0.113,0.331,159.947,audio_features,3RwWW7KeVhHGayYJgUL5eZ,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,https://api.spotify.com/v1/tracks/3RwWW7KeVhHGayYJgUL5eZ,https://api.spotify.com/v1/audio-analysis/3RwWW7KeVhHGayYJgUL5eZ,210200.0,4.0
Bye,Ariana Grande,Bye_Ariana Grande,0.638,0.647,2.0,-4.834,0.0,0.028,0.217,0.0,0.156,0.51,110.003,audio_features,1Rweq7vNjK4kZBbGrmxQsl,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,https://api.spotify.com/v1/tracks/1Rweq7vNjK4kZBbGrmxQsl,https://api.spotify.com/v1/audio-analysis/1Rweq7vNjK4kZBbGrmxQsl,164927.0,4.0
Don't Wanna Break Up Again,Ariana Grande,Don't Wanna Break Up Again_Ariana Grande,0.41,0.726,9.0,-5.204,0.0,0.33,0.456,0.0,0.11,0.556,193.956,audio_features,0o3ua5ufFK7nfRzbDUNoGA,spotify:track:0o3ua5ufFK7nfRzbDUNoGA,https://api.spotify.com/v1/tracks/0o3ua5ufFK7nfRzbDUNoGA,https://api.spotify.com/v1/audio-analysis/0o3ua5ufFK7nfRzbDUNoGA,174006.0,4.0
True Story,Ariana Grande,True Story_Ariana Grande,0.725,0.526,9.0,-6.179,0.0,0.0629,0.478,1.63e-05,0.312,0.377,137.962,audio_features,14kyXBpg91RVq8bNRDS1q2,spotify:track:14kyXBpg91RVq8bNRDS1q2,https://api.spotify.com/v1/tracks/14kyXBpg91RVq8bNRDS1q2,https://api.spotify.com/v1/audio-analysis/14kyXBpg91RVq8bNRDS1q2,163278.0,4.0
Imperfect For You,Ariana Grande,Imperfect For You_Ariana Grande,0.635,0.389,4.0,-7.413,1.0,0.0333,0.505,0.0,0.433,0.24,150.116,audio_features,6XXKB32Om6WuXg3uEWwTob,spotify:track:6XXKB32Om6WuXg3uEWwTob,https://api.spotify.com/v1/tracks/6XXKB32Om6WuXg3uEWwTob,https://api.spotify.com/v1/audio-analysis/6XXKB32Om6WuXg3uEWwTob,182567.0,3.0
Intro (End Of The World),Ariana Grande,Intro (End Of The World)_Ariana Grande,0.501,0.373,10.0,-9.488,1.0,0.0493,0.671,0.0,0.177,0.38,84.682,audio_features,2o1pb13quMReXZqE7jWsgq,spotify:track:2o1pb13quMReXZqE7jWsgq,https://api.spotify.com/v1/tracks/2o1pb13quMReXZqE7jWsgq,https://api.spotify.com/v1/audio-analysis/2o1pb13quMReXZqE7jWsgq,92400.0,4.0
I Wish I Hated You,Ariana Grande,I Wish I Hated You_Ariana Grande,0.577,0.246,7.0,-9.169,1.0,0.0334,0.855,0.0,0.105,0.296,65.418,audio_features,5cQX9BexkPIEESTZijJhXg,spotify:track:5cQX9BexkPIEESTZijJhXg,https://api.spotify.com/v1/tracks/5cQX9BexkPIEESTZijJhXg,https://api.spotify.com/v1/audio-analysis/5cQX9BexkPIEESTZijJhXg,153633.0,4.0
Ordinary Things,Ariana Grande Featuring Nonna,Ordinary Things_Ariana Grande Featuring Nonna,0.7,0.544,6.0,-8.243,1.0,0.0729,0.713,0.0,0.319,0.29,114.971,audio_features,4mHM5d2fK3n8xgymjf92w2,spotify:track:4mHM5d2fK3n8xgymjf92w2,https://api.spotify.com/v1/tracks/4mHM5d2fK3n8xgymjf92w2,https://api.spotify.com/v1/audio-analysis/4mHM5d2fK3n8xgymjf92w2,168500.0,4.0
Austin,Dasha,Austin_Dasha,0.764,0.678,0.0,-6.161,1.0,0.058,0.494,1.91e-06,0.107,0.712,114.939,audio_features,69wVo2cAAD7O9XSpSpTBAu,spotify:track:69wVo2cAAD7O9XSpSpTBAu,https://api.spotify.com/v1/tracks/69wVo2cAAD7O9XSpSpTBAu,https://api.spotify.com/v1/audio-analysis/69wVo2cAAD7O9XSpSpTBAu,171783.0,4.0
Back Then Right Now,Tyler Hubbard,Back Then Right Now_Tyler Hubbard,0.659,0.865,7.0,-4.416,1.0,0.0541,0.0164,0.0,0.134,0.761,126.998,audio_features,0GdZqKPBrvkpo7mk2OyHtf,spotify:track:0GdZqKPBrvkpo7mk2OyHtf,https://api.spotify.com/v1/tracks/0GdZqKPBrvkpo7mk2OyHtf,https://api.spotify.com/v1/audio-analysis/0GdZqKPBrvkpo7mk2OyHtf,201485.0,4.0
Outskirts,Sam Hunt,Outskirts_Sam Hunt,0.552,0.774,10.0,-3.685,1.0,0.0401,0.215,0.0,0.126,0.194,75.07,audio_features,2E0bqoMlIb2xmFyZHRjtzK,spotify:track:2E0bqoMlIb2xmFyZHRjtzK,https://api.spotify.com/v1/tracks/2E0bqoMlIb2xmFyZHRjtzK,https://api.spotify.com/v1/audio-analysis/2E0bqoMlIb2xmFyZHRjtzK,182707.0,4.0
Like What (Freestyle),Cardi B,Like What (Freestyle)_Cardi B,0.948,0.689,11.0,-6.662,0.0,0.167,0.0696,0.0,0.434,0.708,114.959,audio_features,3ytbtkmMnkfwMrBi32a7FD,spotify:track:3ytbtkmMnkfwMrBi32a7FD,https://api.spotify.com/v1/tracks/3ytbtkmMnkfwMrBi32a7FD,https://api.spotify.com/v1/audio-analysis/3ytbtkmMnkfwMrBi32a7FD,136400.0,4.0
Overcompensate,twenty one pilots,Overcompensate_twenty one pilots,0.363,0.891,5.0,-5.563,0.0,0.0978,0.00992,0.00183,0.134,0.331,95.089,audio_features,0wEGo9LsSrSUz9HOtraWAO,spotify:track:0wEGo9LsSrSUz9HOtraWAO,https://api.spotify.com/v1/tracks/0wEGo9LsSrSUz9HOtraWAO,https://api.spotify.com/v1/audio-analysis/0wEGo9LsSrSUz9HOtraWAO,236000.0,4.0
Doctor (Work It Out),Pharrell & Miley Cyrus,Doctor (Work It Out)_Pharrell & Miley Cyrus,0.841,0.624,4.0,-5.502,0.0,0.0419,0.0211,0.0,0.0788,0.93,120.03,audio_features,4f9wNNZET9wH7eMBgONd3d,spotify:track:4f9wNNZET9wH7eMBgONd3d,https://api.spotify.com/v1/tracks/4f9wNNZET9wH7eMBgONd3d,https://api.spotify.com/v1/audio-analysis/4f9wNNZET9wH7eMBgONd3d,182222.0,4.0
Tucson Too Late,Jordan Davis,Tucson Too Late_Jordan Davis,0.661,0.707,7.0,-7.19,1.0,0.0285,0.628,1.85e-06,0.0852,0.385,105.917,audio_features,2hNQDbZcN3vqRAuwiz7poI,spotify:track:2hNQDbZcN3vqRAuwiz7poI,https://api.spotify.com/v1/tracks/2hNQDbZcN3vqRAuwiz7poI,https://api.spotify.com/v1/audio-analysis/2hNQDbZcN3vqRAuwiz7poI,172853.0,4.0
Saturn,SZA,Saturn_SZA,0.411,0.619,1.0,-6.834,1.0,0.0368,0.62,0.0,0.11,0.337,177.937,audio_features,1bjeWoagtHmUKputLVyDxQ,spotify:track:1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,186192.0,4.0
Holy Smokes,Bailey Zimmerman,Holy Smokes_Bailey Zimmerman,0.462,0.569,7.0,-7.908,1.0,0.0321,0.509,0.0,0.12,0.432,95.117,audio_features,1kMWJ16W3Yk3hyNmaM7jfQ,spotify:track:1kMWJ16W3Yk3hyNmaM7jfQ,https://api.spotify.com/v1/tracks/1kMWJ16W3Yk3hyNmaM7jfQ,https://api.spotify.com/v1/audio-analysis/1kMWJ16W3Yk3hyNmaM7jfQ,195158.0,4.0
Love On,Selena Gomez,Love On_Selena Gomez,0.756,0.529,0.0,-6.237,1.0,0.0368,0.183,2.32e-06,0.0791,0.524,115.987,audio_features,2fB5YRuD88drKpCXQOAk03,spotify:track:2fB5YRuD88drKpCXQOAk03,https://api.spotify.com/v1/tracks/2fB5YRuD88drKpCXQOAk03,https://api.spotify.com/v1/audio-analysis/2fB5YRuD88drKpCXQOAk03,181650.0,4.0
Old Days,Lil Durk,Old Days_Lil Durk,0.606,0.603,1.0,-9.668,1.0,0.512,0.193,0.0,0.107,0.573,80.441,audio_features,7gM0bjWc2LpgZTihy4U18P,spotify:track:7gM0bjWc2LpgZTihy4U18P,https://api.spotify.com/v1/tracks/7gM0bjWc2LpgZTihy4U18P,https://api.spotify.com/v1/audio-analysis/7gM0bjWc2LpgZTihy4U18P,195313.0,4.0
Dont Let Me Go,mgk,Dont Let Me Go_mgk,0.502,0.458,3.0,-11.385,1.0,0.349,0.607,0.000801,0.0903,0.172,93.301,audio_features,2qvGI2uUNgNheWnfxQr25W,spotify:track:2qvGI2uUNgNheWnfxQr25W,https://api.spotify.com/v1/tracks/2qvGI2uUNgNheWnfxQr25W,https://api.spotify.com/v1/audio-analysis/2qvGI2uUNgNheWnfxQr25W,173858.0,3.0
Wine Into Whiskey,Tucker Wetmore,Wine Into Whiskey_Tucker Wetmore,0.685,0.642,11.0,-5.406,1.0,0.0356,0.514,0.000984,0.0942,0.318,149.986,audio_features,2DVHIJA2bLas9cGLmHmUsY,spotify:track:2DVHIJA2bLas9cGLmHmUsY,https://api.spotify.com/v1/tracks/2DVHIJA2bLas9cGLmHmUsY,https://api.spotify.com/v1/audio-analysis/2DVHIJA2bLas9cGLmHmUsY,168464.0,4.0
Let's Go,Key Glock,Let's Go_Key Glock,0.673,0.526,8.0,-7.612,1.0,0.0677,0.00172,0.0,0.3,0.303,75.505,audio_features,5GCU2LJWPzoP8Q6nexs61z,spotify:track:5GCU2LJWPzoP8Q6nexs61z,https://api.spotify.com/v1/tracks/5GCU2LJWPzoP8Q6nexs61z,https://api.spotify.com/v1/audio-analysis/5GCU2LJWPzoP8Q6nexs61z,139867.0,4.0
Easy,LE SSERAFIM,Easy_LE SSERAFIM,0.744,0.7,0.0,-5.154,1.0,0.0507,0.189,2.74e-06,0.114,0.602,165.004,audio_features,2O4Bb2WCkjlTPO827OnBMI,spotify:track:2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/tracks/2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/audio-analysis/2O4Bb2WCkjlTPO827OnBMI,164545.0,4.0
Training Season,Dua Lipa,Training Season_Dua Lipa,0.815,0.582,5.0,-4.5,0.0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,audio_features,6Qb7YsAqH4wWFUMbGsCpap,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,https://api.spotify.com/v1/tracks/6Qb7YsAqH4wWFUMbGsCpap,https://api.spotify.com/v1/audio-analysis/6Qb7YsAqH4wWFUMbGsCpap,209488.0,4.0
Whatever She Wants,Bryson Tiller,Whatever She Wants_Bryson Tiller,0.82,0.487,9.0,-7.358,0.0,0.0959,0.102,0.0,0.0803,0.431,96.028,audio_features,57wp7VFnV8X0pSVnYArGeJ,spotify:track:57wp7VFnV8X0pSVnYArGeJ,https://api.spotify.com/v1/tracks/57wp7VFnV8X0pSVnYArGeJ,https://api.spotify.com/v1/audio-analysis/57wp7VFnV8X0pSVnYArGeJ,161342.0,4.0
Breathe,Yeat,Breathe_Yeat,0.771,0.541,11.0,-13.0,1.0,0.0612,0.0275,0.881,0.105,0.106,118.064,audio_features,5NAOhPAZ57eFAXr3qatS6i,spotify:track:5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/tracks/5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/audio-analysis/5NAOhPAZ57eFAXr3qatS6i,170847.0,4.0
End Of Beginning,Djo,End Of Beginning_Djo,0.689,0.454,2.0,-7.643,1.0,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246.0,4.0
Contigo,Karol G & Tiesto,Contigo_Karol G & Tiesto,0.846,0.545,5.0,-7.826,1.0,0.0736,0.178,6.23e-06,0.0989,0.268,122.029,audio_features,4UkUxO2WlKLc0Q1iEutGGh,spotify:track:4UkUxO2WlKLc0Q1iEutGGh,https://api.spotify.com/v1/tracks/4UkUxO2WlKLc0Q1iEutGGh,https://api.spotify.com/v1/audio-analysis/4UkUxO2WlKLc0Q1iEutGGh,192787.0,4.0
Bittersweet,Gunna,Bittersweet_Gunna,0.44,0.636,1.0,-5.73,0.0,0.0705,0.564,0.0,0.253,0.687,158.475,audio_features,7yfRb4seXT7w8zVMW0dXNa,spotify:track:7yfRb4seXT7w8zVMW0dXNa,https://api.spotify.com/v1/tracks/7yfRb4seXT7w8zVMW0dXNa,https://api.spotify.com/v1/audio-analysis/7yfRb4seXT7w8zVMW0dXNa,191493.0,4.0
Psycho CEO,Yeat,Psycho CEO_Yeat,0.558,0.508,1.0,-8.791,1.0,0.0312,0.00868,0.000709,0.202,0.039,137.091,audio_features,2dyAiC9k6s0mWnMSQRQJGd,spotify:track:2dyAiC9k6s0mWnMSQRQJGd,https://api.spotify.com/v1/tracks/2dyAiC9k6s0mWnMSQRQJGd,https://api.spotify.com/v1/audio-analysis/2dyAiC9k6s0mWnMSQRQJGd,225985.0,4.0
Tu Name,Fuerza Regida,Tu Name_Fuerza Regida,0.76,0.747,0.0,-5.083,0.0,0.0282,0.0675,2.73e-06,0.309,0.884,128.912,audio_features,3FqUPvubYeRCMsdJ02QyZR,spotify:track:3FqUPvubYeRCMsdJ02QyZR,https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR,https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR,152079.0,3.0
Texas Hold 'Em,Beyonce,Texas Hold 'Em_Beyonce,0.725,0.709,2.0,-6.514,1.0,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,0Z7nGFVCLfixWctgePsRk9,spotify:track:0Z7nGFVCLfixWctgePsRk9,https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9,https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9,235636.0,4.0
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival_¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324.0,4.0
Yeah!,Usher Featuring Lil Jon & Ludacris,Yeah!_Usher Featuring Lil Jon & Ludacris,0.917,0.455,2.0,-12.273,1.0,0.071,0.0219,0.0027,0.107,0.0733,104.998,audio_features,3ZXb7BJtQpt5oHscNU2MG1,spotify:track:3ZXb7BJtQpt5oHscNU2MG1,https://api.spotify.com/v1/tracks/3ZXb7BJtQpt5oHscNU2MG1,https://api.spotify.com/v1/audio-analysis/3ZXb7BJtQpt5oHscNU2MG1,246627.0,4.0
Fuk Sumn,¥$: Ye & Ty Dolla $ign,Fuk Sumn_¥$: Ye & Ty Dolla $ign,0.774,0.818,4.0,-2.825,0.0,0.145,0.127,0.0,0.0529,0.438,142.084,audio_features,5tEaVciE2GnR28aN6W9cLS,spotify:track:5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/tracks/5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/audio-analysis/5tEaVciE2GnR28aN6W9cLS,209577.0,4.0
Back To Me,¥$: Ye & Ty Dolla $ign,Back To Me_¥$: Ye & Ty Dolla $ign,0.809,0.788,1.0,-7.217,1.0,0.0889,0.00108,0.0,0.0625,0.344,95.637,audio_features,1icgLGTpX2fQXKRe4D7w2b,spotify:track:1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/tracks/1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/audio-analysis/1icgLGTpX2fQXKRe4D7w2b,295472.0,4.0
